Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_CR2032-BS-6-1,1,CR2032_Battery_Cell,
"C1, C2, C3, C4, C5, C6",0402,6,100n,
"C7, C8",0603,2,1.0 uf,
D1,D_SOD-123,1,B5819W SL,C8598
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
"J3, J4",691210910002,2,Screw_Terminal_01x02,
J5,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
"Q1, Q2",SOT95P240X111-3N,2,BSS138,
"R1, R2",0603,2,4k7,
"R3, R4, R5",0603,3,10k,
R6,0603,1,100k,
R7,0603,1,22k1,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,21-0042B_16_MXM,1,ds3231sn-,
U3,SON65P300X300X100-9N,1,TPS2557DRBR,
U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
